Name,PhoneNumber,Age,Birthday
,,,
Jose J. Lyons,559-340-5008,40 years old,"May 26, 1981"
Mary J. Johnson,339-545-0440,32 years old,"August 31, 1989"
William M. Davis,630-442-3665,54 years old,"January 10, 1967"
Walter L. Hubbard,612-625-2407,47 years old,"April 26, 1974"
Frank L. Villatoro,757-885-4027,44 years old,"August 25, 1977"
Rosalie V. Jaggers,814-326-7323,51 years old,"April 26, 1970"
Hilary S. Bush,847-368-5847,61 years old,"July 18, 1960"
Norma T. Boothe,805-798-2215,73 years old,"October 23, 1947"
Blanche B. Davis,773-209-0950,60 years old,"April 16, 1961"
Benjamin D. Harrington,731-599-5215,82 years old,"July 29, 1939"
